0.000000000000000000e+00,5.360852392824097734e+01,5.335606755774312537e-01,2.524563704978467597e-03,2.065629992487729464e-28
0.000000000000000000e+00,5.360852392824097734e+01,3.895637304529735601e-03,2.558193432250628792e-03,8.333295122286583433e-30
2.500000000000000000e+01,2.910296589082210604e-06,2.731649783597616710e-08,1.506110299893953145e-09,3.493673358757652677e-30
5.000000000000000000e+01,2.419510154440399608e-06,2.267936221607537221e-08,1.515706871102925453e-09,3.587184999094688538e-30
7.500000000000000000e+01,2.419447357567086253e-06,2.267871690994457530e-08,1.515734299127963267e-09,3.587601038505066013e-30
1.000000000000000000e+02,2.419392109939969973e-06,2.267816305390788197e-08,1.515736281658227625e-09,3.587653504208738674e-30
1.250000000000000000e+02,2.419337829717834770e-06,2.267761802511902374e-08,1.515738637934455275e-09,3.587672838881331965e-30
1.500000000000000000e+02,2.419284066399000244e-06,2.267708387287510372e-08,1.515735367309531812e-09,3.587647470068844798e-30
1.750000000000000000e+02,2.419230746246673780e-06,2.267655007897446745e-08,1.515736146402829530e-09,3.587645381097982041e-30
2.000000000000000000e+02,2.419177834143721922e-06,2.267602476542776990e-08,1.515732499079435109e-09,3.587614686163228326e-30
2.250000000000000000e+02,2.419125308897631476e-06,2.267549900411771151e-08,1.515733145103654981e-09,3.587610735424318172e-30
2.500000000000000000e+02,2.419073152075572988e-06,2.267498121023658856e-08,1.515729524652701965e-09,3.587580191885822517e-30
2.750000000000000000e+02,2.419021351392021772e-06,2.267446272898237248e-08,1.515730134476353084e-09,3.587575863618805116e-30
3.000000000000000000e+02,2.418969891929218638e-06,2.267395183995733959e-08,1.515726567813140138e-09,3.587545875759770744e-30
3.250000000000000000e+02,2.418918762157420140e-06,2.267344007766313926e-08,1.515727155449405303e-09,3.587541354816344472e-30
3.500000000000000000e+02,2.418867949079746807e-06,2.267293559029808785e-08,1.515723641818279364e-09,3.587511937798618979e-30
3.750000000000000000e+02,2.418817442947021787e-06,2.267243007666725580e-08,1.515724211644648007e-09,3.587507256436471998e-30
4.000000000000000000e+02,2.418767232754272851e-06,2.267193156078805975e-08,1.515720748138754540e-09,3.587478365237129562e-30
4.250000000000000000e+02,2.418717309433872114e-06,2.267143188196362322e-08,1.515721300054629504e-09,3.587473543776898680e-30
4.500000000000000000e+02,2.418667663396088631e-06,2.267093894938386083e-08,1.515717886344001200e-09,3.587445164175722933e-30
4.750000000000000000e+02,2.418618286647923100e-06,2.267044474986874546e-08,1.515718419843616135e-09,3.587440197084741297e-30
